Date	DayCount	PFT	Age	NumberPlants	Height	Width	LAI	CoveredArea	RootDepth	NumberSoilLayers	ShootBiomass	GreenShootBiomass	BrownShootBiomass	ClippedShootBiomass	RootBiomass	RecruitmentBiomass	ExudationBiomass	GPP	NPP	Respiration	Radiation	ShadingIndicator	LimitingFactorWater	LimitingFactorNitrogen	AllocationShoot	AllocationRoot	AllocationRecruitment	AllocationExudation
2013-04-14	104	0	1	4	1.06754	0.88962	0.0741217	0.621583	3.09759	1	0.000729923	0.000722137	7.78657e-06	0	0.000310188	0	4.50447e-06	6.33501e-05	4.50447e-05	1.83054e-05	310.338	1	1	1	0.631343	0.268657	0	0.1
2013-04-14	104	1	1	5	0.606289	1.51572	0.0489785	1.80439	3.59798	1	0.000875183	0.000856107	1.90757e-05	0	0.000215278	0	1.01446e-05	0.000133769	0.000101446	3.23227e-05	309.738	0.998068	1	1	0.721782	0.178218	0	0.1
2013-04-14	104	2	1	6	0.900832	1.26167	0.268408	1.2502	6.03031	1	0.00117031	0.00115275	1.75678e-05	0	0.000341754	0	5.69483e-05	0.000718829	0.000569483	0.000149345	309.738	0.998068	1	1	0.69638	0.20362	0	0.1
2013-04-15	105	0	2	4	1.08309	0.902577	0.0752013	0.639821	3.13709	1	0.000762284	0.000746489	1.57945e-05	0	0.000323528	0	5.12811e-06	7.43913e-05	5.12811e-05	2.31102e-05	552.701	1	1	1	0.631343	0.268657	0	0.1
2013-04-15	105	1	2	5	0.626194	1.56548	0.0505864	1.92481	3.70071	1	0.000964242	0.000924822	3.94197e-05	0	0.000236384	0	1.23442e-05	0.000164856	0.000123442	4.14142e-05	551.317	0.997497	1	1	0.721782	0.178218	0	0.1
2013-04-15	105	2	2	6	1.04834	1.46827	0.31236	1.69317	7.11763	1	0.00184451	0.00180079	4.37228e-05	0	0.000538222	0	9.68209e-05	0.00122501	0.000968209	0.000256802	551.317	0.997497	1	1	0.69638	0.20362	0	0.1
2013-04-16	106	0	3	4	1.09849	0.915405	0.07627	0.658137	3.17617	1	0.000795249	0.000771184	2.40647e-05	0	0.000337109	0	5.22525e-06	7.50746e-05	5.22525e-05	2.28221e-05	476.459	1	1	1	0.631343	0.268657	0	0.1
2013-04-16	106	1	3	5	0.645719	1.6143	0.0521638	2.04671	3.80121	1	0.00105728	0.000995904	6.13779e-05	0	0.000258391	0	1.28988e-05	0.000171701	0.000128988	4.27135e-05	455.223	0.955429	1	1	0.721782	0.178218	0	0.1
2013-04-16	106	2	3	6	1.21504	1.70174	0.362029	2.27445	8.36434	1	0.00287175	0.00278719	8.45652e-05	0	0.000837542	0	0.000147524	0.00186517	0.00147524	0.000389932	476.459	1	1	1	0.69638	0.20362	0	0.1
2013-04-17	107	0	4	4	1.11312	0.927597	0.0772859	0.675785	3.21321	1	0.00082745	0.000794849	3.26008e-05	0	0.00035035	0	5.10557e-06	7.46493e-05	5.10557e-05	2.35936e-05	392.339	1	1	1	0.631343	0.268657	0	0.1
2013-04-17	107	1	4	5	0.663377	1.65844	0.0535903	2.16018	3.89149	1	0.00114641	0.00106141	8.50048e-05	0	0.000279348	0	1.23606e-05	0.000166621	0.000123606	4.30146e-05	303.298	0.773051	1	1	0.721782	0.178218	0	0.1
2013-04-17	107	2	4	6	1.40024	1.96112	0.417209	3.02063	9.76868	1	0.00439519	0.00424743	0.000147762	0	0.00128137	0	0.000218787	0.00276991	0.00218787	0.000582038	392.339	1	1	1	0.69638	0.20362	0	0.1
2013-04-18	108	0	5	4	1.12855	0.940461	0.0783577	0.694659	3.25235	1	0.000862356	0.000820965	4.1391e-05	0	0.000364727	0	5.53548e-06	8.17029e-05	5.53548e-05	2.63481e-05	513.789	1	1	1	0.631343	0.268657	0	0.1
2013-04-18	108	1	5	5	0.680491	1.70123	0.0549728	2.27308	3.9787	1	0.00123745	0.00112728	0.000110166	0	0.000300694	0	1.26281e-05	0.000172325	0.000126281	4.60448e-05	273.289	0.531909	1	1	0.721782	0.178218	0	0.1
2013-04-18	108	2	5	6	1.62431	2.27495	0.483973	4.06474	11.4921	2	0.00686091	0.00661685	0.000244051	0	0.00199987	0	0.00035411	0.00448618	0.0035411	0.000945074	513.789	1	1	1	0.69638	0.20362	0	0.1
2013-04-19	109	0	6	4	1.14425	0.953541	0.0794475	0.714116	3.29212	1	0.00089884	0.000848377	5.04624e-05	0	0.000379759	0	5.7867e-06	8.11341e-05	5.7867e-05	2.32671e-05	416.994	1	1	1	0.631343	0.268657	0	0.1
2013-04-19	109	1	6	5	0.692276	1.73069	0.0559248	2.35249	4.03719	1	0.00130286	0.00116599	0.000136869	0	0.000315631	0	9.0813e-06	0.000123992	9.0813e-05	3.31786e-05	111.299	0.266907	1	1	0.721782	0.178218	0	0.1
2013-04-19	109	2	6	6	1.87499	2.62604	0.558665	5.41618	13.447	2	0.0105529	0.0101589	0.000394039	0	0.00307555	0	0.000530226	0.00669115	0.00530226	0.00138889	416.994	1	1	1	0.69638	0.20362	0	0.1
2013-04-20	110	0	7	4	1.15661	0.96384	0.0803056	0.729625	3.32314	1	0.000928279	0.000870681	5.75982e-05	0	0.000391776	0	4.67206e-06	6.44516e-05	4.67206e-05	1.7731e-05	419.31	1	1	1	0.631343	0.268657	0	0.1
2013-04-20	110	1	7	5	0.696155	1.74039	0.0562382	2.37893	4.05315	1	0.00132488	0.00116698	0.000157897	0	0.000319797	0	3.07279e-06	4.56444e-05	3.07279e-05	1.49165e-05	35.7188	0.0851846	1	1	0.721782	0.178218	0	0.1
